step,time_sec,env,episode,episode_step,reward,return,hits,done,terminated,truncated,obs/000,obs/001,obs/002,obs/003,obs/004,obs/005,obs/006,obs/007,obs/008,obs/009,obs/010,obs/011,obs/012,obs/013,obs/014,obs/015,obs/016,obs/017,obs/018,obs/019,obs/020,obs/021,obs/022,obs/023,obs/024,obs/025,obs/026,obs/027,obs/028,obs/029,obs/030,obs/031,obs/032,obs/033,obs/034,obs/035,obs/036,obs/037,obs/038,obs/039,obs/040,obs/041,obs/042,obs/043,obs/044,obs/045,obs/046,obs/047,obs/048,obs/049,obs_arm_q_rad/RightArm-0,obs_arm_q_deg/RightArm-0,obs_arm_q_rad/RightArm-1,obs_arm_q_deg/RightArm-1,obs_arm_q_rad/RightArm-2,obs_arm_q_deg/RightArm-2,obs_arm_q_rad/RightArm-3,obs_arm_q_deg/RightArm-3,obs_arm_q_rad/RightArm-4,obs_arm_q_deg/RightArm-4,obs_arm_q_rad/RightArm-5,obs_arm_q_deg/RightArm-5,obs_arm_q_rad/RightArm-6,obs_arm_q_deg/RightArm-6,obs_arm_dq_rad_s/RightArm-0,obs_arm_dq_deg_s/RightArm-0,obs_arm_dq_rad_s/RightArm-1,obs_arm_dq_deg_s/RightArm-1,obs_arm_dq_rad_s/RightArm-2,obs_arm_dq_deg_s/RightArm-2,obs_arm_dq_rad_s/RightArm-3,obs_arm_dq_deg_s/RightArm-3,obs_arm_dq_rad_s/RightArm-4,obs_arm_dq_deg_s/RightArm-4,obs_arm_dq_rad_s/RightArm-5,obs_arm_dq_deg_s/RightArm-5,obs_arm_dq_rad_s/RightArm-6,obs_arm_dq_deg_s/RightArm-6,obs_base_q/x,obs_base_q/y,obs_base_q/yaw,obs_base_q_yaw_deg,obs_base_dq/vx,obs_base_dq/vy,obs_base_dq/yaw_rate,obs_base_dq_yaw_rate_deg_s,obs_ball_pos_base_m/x,obs_ball_vel_base_m_s/x,obs_racket_pos_base_m/x,obs_racket_vel_base_m_s/x,obs_rel_base_m/x,obs_ball_pos_base_m/y,obs_ball_vel_base_m_s/y,obs_racket_pos_base_m/y,obs_racket_vel_base_m_s/y,obs_rel_base_m/y,obs_ball_pos_base_m/z,obs_ball_vel_base_m_s/z,obs_racket_pos_base_m/z,obs_racket_vel_base_m_s/z,obs_rel_base_m/z,obs_prev_action/RightArm-0,obs_prev_action/RightArm-1,obs_prev_action/RightArm-2,obs_prev_action/RightArm-3,obs_prev_action/RightArm-4,obs_prev_action/RightArm-5,obs_prev_action/RightArm-6,obs_arm_cmd_error_rad/RightArm-0,obs_arm_cmd_error_deg/RightArm-0,obs_arm_cmd_error_rad/RightArm-1,obs_arm_cmd_error_deg/RightArm-1,obs_arm_cmd_error_rad/RightArm-2,obs_arm_cmd_error_deg/RightArm-2,obs_arm_cmd_error_rad/RightArm-3,obs_arm_cmd_error_deg/RightArm-3,obs_arm_cmd_error_rad/RightArm-4,obs_arm_cmd_error_deg/RightArm-4,obs_arm_cmd_error_rad/RightArm-5,obs_arm_cmd_error_deg/RightArm-5,obs_arm_cmd_error_rad/RightArm-6,obs_arm_cmd_error_deg/RightArm-6,obs_ball_age_norm
1,0.005,0,1,1.0,0.0014434430049732327,0.0014434430049732327,0.0,0.0,0.0,0.0,0.15671943128108978,-0.8722838163375854,0.34934985637664795,1.5704772472381592,0.785426139831543,-0.13951954245567322,0.7854024767875671,-8.623896974313539e-06,-0.00011431465100031346,-5.34226910531288e-06,-3.0082077500992455e-05,-5.521106231753947e-06,-3.614456772993435e-06,5.218845444687759e-07,-0.00035140113322995603,-0.007536173798143864,0.0006344671128317714,-9.515636634205293e-08,-2.402482550678542e-06,-2.1327761714928783e-05,-0.1995711773633957,-0.438827782869339,1.3726099729537964,9.455895451537799e-06,-1.8539843722464866e-06,0.0,-0.17535121738910675,-0.459173321723938,1.0732536315917969,9.889819921227172e-06,-1.3374269656196702e-06,0.0,-0.02421995997428894,0.020345538854599,0.2993563413619995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15671943128108978,8.979361980096977,-0.8722838163375854,-49.97818121370829,0.34934985637664795,20.016272343883397,1.5704772472381592,89.98171808807004,0.785426139831543,45.00160293159945,-0.13951954245567322,-7.993880942306381,0.7854024767875671,45.0002471390492,-8.623896974313539e-06,-0.0004941128995838063,-0.00011431465100031346,-0.006549747038828916,-5.34226910531288e-06,-0.00030608947275755836,-3.0082077500992455e-05,-0.0017235760797923183,-5.521106231753947e-06,-0.00031633608532287893,-3.614456772993435e-06,-0.0002070931183249989,5.218845444687759e-07,2.9901781791168387e-05,-0.00035140113322995603,-0.007536173798143864,0.0006344671128317714,0.036352284252643585,-9.515636634205293e-08,-2.402482550678542e-06,-2.1327761714928783e-05,-0.001221990678459406,-0.1995711773633957,9.455895451537799e-06,-0.17535121738910675,9.889819921227172e-06,-0.02421995997428894,-0.438827782869339,-1.8539843722464866e-06,-0.459173321723938,-1.3374269656196702e-06,0.020345538854599,1.3726099729537964,0.0,1.0732536315917969,0.0,0.2993563413619995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01,0,1,2.0,0.0015007683541625738,0.0029442114755511284,0.0,0.0,0.0,0.0,0.15671943128108978,-0.8722838163375854,0.34934985637664795,1.5704772472381592,0.785426139831543,-0.13951954245567322,0.7854024767875671,-8.623896974313539e-06,-0.00011431465100031346,-5.34226910531288e-06,-3.0082077500992455e-05,-5.521106231753947e-06,-3.614456772993435e-06,5.218845444687759e-07,-0.00035140113322995603,-0.007536173798143864,0.0006344671128317714,-9.515636634205293e-08,-2.402482550678542e-06,-2.1327761714928783e-05,-0.1995711773633957,-0.438827782869339,1.3726099729537964,9.455895451537799e-06,-1.8539843722464866e-06,0.0,-0.17535121738910675,-0.459173321723938,1.0732536315917969,9.889819921227172e-06,-1.3374269656196702e-06,0.0,-0.02421995997428894,0.020345538854599,0.2993563413619995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15671943128108978,8.979361980096977,-0.8722838163375854,-49.97818121370829,0.34934985637664795,20.016272343883397,1.5704772472381592,89.98171808807004,0.785426139831543,45.00160293159945,-0.13951954245567322,-7.993880942306381,0.7854024767875671,45.0002471390492,-8.623896974313539e-06,-0.0004941128995838063,-0.00011431465100031346,-0.006549747038828916,-5.34226910531288e-06,-0.00030608947275755836,-3.0082077500992455e-05,-0.0017235760797923183,-5.521106231753947e-06,-0.00031633608532287893,-3.614456772993435e-06,-0.0002070931183249989,5.218845444687759e-07,2.9901781791168387e-05,-0.00035140113322995603,-0.007536173798143864,0.0006344671128317714,0.036352284252643585,-9.515636634205293e-08,-2.402482550678542e-06,-2.1327761714928783e-05,-0.001221990678459406,-0.1995711773633957,9.455895451537799e-06,-0.17535121738910675,9.889819921227172e-06,-0.02421995997428894,-0.438827782869339,-1.8539843722464866e-06,-0.459173321723938,-1.3374269656196702e-06,0.020345538854599,1.3726099729537964,0.0,1.0732536315917969,0.0,0.2993563413619995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.015,0,1,3.0,0.0015709990402683616,0.004515210632234812,0.0,0.0,0.0,0.0,0.15669508278369904,-0.8722545504570007,0.34937113523483276,1.5704460144042969,0.785429060459137,-0.13950657844543457,0.7854028344154358,-0.0054035973735153675,0.006145262159407139,0.00473426841199398,-0.006536946631968021,0.0006386251770891249,0.0028580885846167803,0.00010583842231426388,-0.0003516243305057287,-0.007536213379353285,0.000633845804259181,-1.3464285984809976e-05,-4.224361873639282e-07,-0.00014447973808273673,-0.1995706856250763,-0.43882787227630615,1.3726099729537964,7.68662866903469e-05,-2.8420015951269306e-05,0.0,-0.17536216974258423,-0.4591614603996277,1.073233723640442,7.980407099239528e-05,-2.4922377633629367e-05,0.0,-0.024208515882492065,0.020333588123321533,0.2993762493133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434849739074707e-05,-2.9265880584716797e-05,-2.1278858184814453e-05,3.123283386230469e-05,-2.9206275939941406e-06,-1.2964010238647461e-05,-3.5762786865234375e-07,0.0,0.15669508278369904,8.977966913959001,-0.8722545504570007,-49.976504402267054,0.34937113523483276,20.017491532650244,1.5704460144042969,89.9799285785075,0.785429060459137,45.001770271234115,-0.13950657844543457,-7.993138159234142,0.7854028344154358,45.000267629616715,-0.0054035973735153675,-0.3096033236904072,0.006145262159407139,0.35209758573547956,0.00473426841199398,0.2712535990893575,-0.006536946631968021,-0.37453945291402585,0.0006386251770891249,0.03659052733800165,0.0028580885846167803,0.16375641337306057,0.00010583842231426388,0.006064094908930556,-0.0003516243305057287,-0.007536213379353285,0.000633845804259181,0.03631668910384178,-1.3464285984809976e-05,-4.224361873639282e-07,-0.00014447973808273673,-0.008278078399598598,-0.1995706856250763,7.68662866903469e-05,-0.17536216974258423,7.980407099239528e-05,-0.024208515882492065,-0.43882787227630615,-2.8420015951269306e-05,-0.4591614603996277,-2.4922377633629367e-05,0.020333588123321533,1.3726099729537964,0.0,1.073233723640442,0.0,0.2993762493133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434849739074707e-05,0.0013950661379751044,-2.9265880584716797e-05,-0.0016768114412381303,-2.1278858184814453e-05,-0.001219188766847276,3.123283386230469e-05,0.0017895095625433408,-2.9206275939941406e-06,-0.0001673396346653124,-1.2964010238647461e-05,-0.0007427830722388866,-3.5762786865234375e-07,-2.0490567510038253e-05,0.0
4,0.02,0,1,4.0,0.001657203072682023,0.0061724139377474785,0.0,0.0,0.0,0.0,0.15666894614696503,-0.8722252249717712,0.3493938148021698,1.5704150199890137,0.7854321002960205,-0.13949331641197205,0.7854034304618835,-0.005079548340290785,0.0056471615098416805,0.004382301587611437,-0.0059605990536510944,0.0005667383666150272,0.002502368064597249,9.364633297082037e-05,-0.00035156073863618076,-0.007536204531788826,0.0006332344491966069,2.723093712120317e-05,2.4181208573281765e-06,-0.000104432889202144,-0.19957047700881958,-0.4388279914855957,1.3726099729537964,1.8595614164951257e-05,-2.3242599127115682e-05,0.0,-0.17537441849708557,-0.4591463804244995,1.073203682899475,2.0717519873869605e-05,-2.0715735445264727e-05,0.0,-0.02419605851173401,0.02031838893890381,0.2994062900543213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048513412475586e-05,-5.8591365814208984e-05,-4.3958425521850586e-05,6.222724914550781e-05,-5.9604644775390625e-06,-2.6226043701171875e-05,-9.5367431640625e-07,0.0,0.15666894614696503,8.976469394983477,-0.8722252249717712,-49.97482417573123,0.3493938148021698,20.01879097613984,1.5704150199890137,89.9781527293233,0.7854321002960205,45.00194444105795,-0.13949331641197205,-7.992378300688978,0.7854034304618835,45.000301780562566,-0.005079548340290785,-0.29103668173134406,0.0056471615098416805,0.323558520742654,0.004382301587611437,0.2510873855236155,-0.0059605990536510944,-0.34151716914388025,0.0005667383666150272,0.032471716495179014,0.002502368064597249,0.14337512888974252,9.364633297082037e-05,0.005365539646104815,-0.00035156073863618076,-0.007536204531788826,0.0006332344491966069,0.036281660199165344,2.723093712120317e-05,2.4181208573281765e-06,-0.000104432889202144,-0.005983563605695963,-0.19957047700881958,1.8595614164951257e-05,-0.17537441849708557,2.0717519873869605e-05,-0.02419605851173401,-0.4388279914855957,-2.3242599127115682e-05,-0.4591463804244995,-2.0715735445264727e-05,0.02031838893890381,1.3726099729537964,0.0,1.073203682899475,0.0,0.2994062900543213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048513412475586e-05,0.0028925851135004,-5.8591365814208984e-05,-0.003357037977061267,-4.3958425521850586e-05,-0.002518632256442202,6.222724914550781e-05,0.003565358746746656,-5.9604644775390625e-06,-0.00034150945850063756,-2.6226043701171875e-05,-0.0015026416174028052,-9.5367431640625e-07,-5.464151336010201e-05,0.0
5,0.025,0,1,5.0,0.0017507673474028707,0.007923181168735027,0.0,0.0,0.0,0.0,0.15665489435195923,-0.8722100257873535,0.3494247496128082,1.5703775882720947,0.785448431968689,-0.1394565999507904,0.7854567766189575,-0.0027080660220235586,0.002788559300825,0.005956995766609907,-0.0072950078174471855,0.0031612312886863947,0.007019196171313524,0.010224228724837303,-0.00035125412978231907,-0.0075361900962889194,0.0006332335760816932,6.426914478652179e-05,3.3850296858872753e-06,1.1349344276823103e-05,-0.19957078993320465,-0.4388279914855957,1.3726099729537964,-6.925168418092653e-05,-1.079334083442518e-06,0.0,-0.1753833144903183,-0.45912671089172363,1.0731669664382935,-6.948206282686442e-05,-1.3538461871576146e-06,0.0,-0.024187475442886353,0.02029871940612793,0.29944300651550293,0.24936117231845856,-0.2657701075077057,0.15872466564178467,-0.07620704174041748,0.0925491601228714,0.1486450731754303,0.324870228767395,0.0001973658800125122,-0.00021535158157348633,4.217028617858887e-05,5.9604644775390625e-06,9.149312973022461e-05,0.00011979043483734131,0.00034505128860473633,0.0,0.15665489435195923,8.97566428643506,-0.8722100257873535,-49.973953326612055,0.3494247496128082,20.020563410229457,1.5703775882720947,89.9760080499239,0.785448431968689,45.002880176974244,-0.1394565999507904,-7.9902746024246145,0.7854567766189575,45.00335829021614,-0.0027080660220235586,-0.15516075370473176,0.002788559300825,0.1597726788592242,0.005956995766609907,0.34131071600404606,-0.0072950078174471855,-0.41797315945466584,0.0031612312886863947,0.18112521090643277,0.007019196171313524,0.4021703161906513,0.010224228724837303,0.5858051547096009,-0.00035125412978231907,-0.0075361900962889194,0.0006332335760816932,0.036281608045101166,6.426914478652179e-05,3.3850296858872753e-06,1.1349344276823103e-05,0.0006502695032395422,-0.19957078993320465,-6.925168418092653e-05,-0.1753833144903183,-6.948206282686442e-05,-0.024187475442886353,-0.4388279914855957,-1.079334083442518e-06,-0.45912671089172363,-1.3538461871576146e-06,0.02029871940612793,1.3726099729537964,0.0,1.0731669664382935,0.0,0.29944300651550293,0.24936117231845856,-0.2657701075077057,0.15872466564178467,-0.07620704174041748,0.0925491601228714,0.1486450731754303,0.324870228767395,0.0001973658800125122,0.01130823194460236,-0.00021535158157348633,-0.012338736735628035,4.217028617858887e-05,0.0024161794188920106,5.9604644775390625e-06,0.00034150945850063756,9.149312973022461e-05,0.005242170187984787,0.00011979043483734131,0.0068634863422165635,0.00034505128860473633,0.019769982552601907,0.0
6,0.03,0,1,6.0,0.0018532297108322382,0.009776410646736622,0.0,0.0,0.0,0.0,0.15666234493255615,-0.8722200393676758,0.34947335720062256,1.5703245401382446,0.7854905128479004,-0.1393739879131317,0.7856093645095825,0.0014752399874851108,-0.0021776119247078896,0.009355644695460796,-0.010396123863756657,0.008102807216346264,0.015760153532028198,0.029147742316126823,-0.0003507309884298593,-0.007536169607192278,0.000634072523098439,9.468950884183869e-05,4.603812158165965e-06,0.00016015053552109748,-0.19959081709384918,-0.43866249918937683,1.3654415607452393,-0.0011727053206413984,0.00873033981770277,-0.4453897476196289,-0.17538605630397797,-0.45909538865089417,1.0731137990951538,-0.00016821677854750305,2.35444003919838e-05,0.0,-0.024204760789871216,0.020432889461517334,0.29232776165008545,0.24936117231845856,-0.2657701075077057,0.15872466564178467,-0.07620704174041748,0.0925491601228714,0.1486450731754303,0.324870228767395,0.00045558810234069824,-0.0004885196685791016,0.00022771954536437988,-0.0001283884048461914,0.00027698278427124023,0.0004026442766189575,0.000991225242614746,0.0,0.15666234493255615,8.976091173258187,-0.8722200393676758,-49.97452706250233,0.34947335720062256,20.02334841986353,1.5703245401382446,89.97296861574326,0.7854905128479004,45.00529123375126,-0.1393739879131317,-7.9855412813297955,0.7856093645095825,45.01210093235376,0.0014752399874851108,0.08452502505182923,-0.0021776119247078896,-0.12476797270312207,0.009355644695460796,0.53603895567386,-0.010396123863756657,-0.5956540206884949,0.008102807216346264,0.46425665570478786,0.015760153532028198,0.9029902818634132,0.029147742316126823,1.670042617048942,-0.0003507309884298593,-0.007536169607192278,0.000634072523098439,0.03632967919111252,9.468950884183869e-05,4.603812158165965e-06,0.00016015053552109748,0.009175949729979038,-0.19959081709384918,-0.0011727053206413984,-0.17538605630397797,-0.00016821677854750305,-0.024204760789871216,-0.43866249918937683,0.00873033981770277,-0.45909538865089417,2.35444003919838e-05,0.020432889461517334,1.3654415607452393,-0.4453897476196289,1.0731137990951538,0.0,0.29232776165008545,0.24936117231845856,-0.2657701075077057,0.15872466564178467,-0.07620704174041748,0.0925491601228714,0.1486450731754303,0.324870228767395,0.00045558810234069824,0.02610327546049623,-0.0004885196685791016,-0.027990115218712253,0.00022771954536437988,0.013047368862016857,-0.0001283884048461914,-0.007356113736103733,0.00027698278427124023,0.015869944536524627,0.0004026442766189575,0.023069817695364318,0.000991225242614746,0.05679302294865603,0.0
7,0.035,0,1,7.0,0.0019591599702835083,0.01173557061702013,0.0,0.0,0.0,0.0,0.15670013427734375,-0.8722651600837708,0.349547803401947,1.5702481269836426,0.7855694890022278,-0.1392262578010559,0.7859017252922058,0.007373237516731024,-0.009089674800634384,0.0143277607858181,-0.014985133893787861,0.015161272138357162,0.028116023167967796,0.055667005479335785,-0.00035003048833459616,-0.0075361416675150394,0.0006358572863973677,0.00011638651631074026,6.22286279394757e-06,0.000324369000736624,-0.19959230720996857,-0.43866217136383057,1.3654415607452393,-0.0012664241949096322,0.0087615130469203,-0.4453897476196289,-0.17538020014762878,-0.45904770493507385,1.0730347633361816,-0.00026529128081165254,5.073904321761802e-05,0.0,-0.024212107062339783,0.020385533571243286,0.2924067974090576,0.25493550300598145,-0.2682751417160034,0.15100164711475372,-0.07249782234430313,0.09454871714115143,0.14822760224342346,0.3246546983718872,0.0008192658424377441,-0.000869452953338623,0.0004988014698028564,-0.00032842159271240234,0.0005418062210083008,0.0008025914430618286,0.001896679401397705,0.0,0.15670013427734375,8.97825634322508,-0.8722651600837708,-49.97711228910318,0.349547803401947,20.027613873000202,1.5702481269836426,89.96859046448527,0.7855694890022278,45.00981623407639,-0.1392262578010559,-7.977076969400857,0.7859017252922058,45.028851971293214,0.007373237516731024,0.4224553910562074,-0.009089674800634384,-0.5208000032227682,0.0143277607858181,0.820920222900421,-0.014985133893787861,-0.858584927552486,0.015161272138357162,0.8686769055771502,0.028116023167967796,1.6109294642165972,0.055667005479335785,3.189484472097569,-0.00035003048833459616,-0.0075361416675150394,0.0006358572863973677,0.0364319384098053,0.00011638651631074026,6.22286279394757e-06,0.000324369000736624,0.018584974110126495,-0.19959230720996857,-0.0012664241949096322,-0.17538020014762878,-0.00026529128081165254,-0.024212107062339783,-0.43866217136383057,0.0087615130469203,-0.45904770493507385,5.073904321761802e-05,0.020385533571243286,1.3654415607452393,-0.4453897476196289,1.0730347633361816,0.0,0.2924067974090576,0.25493550300598145,-0.2682751417160034,0.15100164711475372,-0.07249782234430313,0.09454871714115143,0.14822760224342346,0.3246546983718872,0.0008192658424377441,0.04694047507091263,-0.000869452953338623,-0.049815984711488,0.0004988014698028564,0.028579219034625854,-0.00032842159271240234,-0.01881717116338513,0.0005418062210083008,0.031043209777707952,0.0008025914430618286,0.0459851023607571,0.001896679401397705,0.10867172478948788,0.0
8,0.04,0,1,8.0,0.0020795015152543783,0.013815072365105152,0.0,0.0,0.0,0.0,0.15677642822265625,-0.8723546862602234,0.34965553879737854,1.5701414346694946,0.7856951355934143,-0.13899686932563782,0.7863685488700867,0.014851732179522514,-0.017779501155018806,0.020739035680890083,-0.02090570144355297,0.0240667462348938,0.043577663600444794,0.08876465260982513,-0.00034920027246698737,-0.007536104414612055,0.0006386284367181361,0.0001284665777347982,8.195850568881724e-06,0.0004927116679027677,-0.19959434866905212,-0.43866166472435,1.3654415607452393,-0.0013523268280550838,0.008793151937425137,-0.4453897476196289,-0.17536453902721405,-0.45897817611694336,1.0729224681854248,-0.0003546157095115632,7.829034439055249e-05,0.0,-0.024229809641838074,0.020316511392593384,0.29251909255981445,0.2546248435974121,-0.26807618141174316,0.15154385566711426,-0.07287707924842834,0.09441104531288147,0.14827871322631836,0.3245982527732849,0.001280084252357483,-0.0013487935066223145,0.0008483529090881348,-0.0005878210067749023,0.000876009464263916,0.001303166151046753,0.003026723861694336,0.0,0.15677642822265625,8.98262766429389,-0.8723546862602234,-49.98224176116987,0.34965553879737854,20.033786656462603,1.5701414346694946,89.96247744517812,0.7856951355934143,45.01701525346159,-0.13899686932563782,-7.96393397789046,0.7863685488700867,45.055598992082984,0.014851732179522514,0.8509415723452716,-0.017779501155018806,-1.01869037803055,0.020739035680890083,1.1882592156862253,-0.02090570144355297,-1.1978084604761379,0.0240667462348938,1.3789229858717793,0.043577663600444794,2.496816205346358,0.08876465260982513,5.085839964487889,-0.00034920027246698737,-0.007536104414612055,0.0006386284367181361,0.036590710282325745,0.0001284665777347982,8.195850568881724e-06,0.0004927116679027677,0.028230298310518265,-0.19959434866905212,-0.0013523268280550838,-0.17536453902721405,-0.0003546157095115632,-0.024229809641838074,-0.43866166472435,0.008793151937425137,-0.45897817611694336,7.829034439055249e-05,0.020316511392593384,1.3654415607452393,-0.4453897476196289,1.0729224681854248,0.0,0.29251909255981445,0.2546248435974121,-0.26807618141174316,0.15154385566711426,-0.07287707924842834,0.09441104531288147,0.14827871322631836,0.3245982527732849,0.001280084252357483,0.07334342508124317,-0.0013487935066223145,-0.07728017536410928,0.0008483529090881348,0.04860704122839574,-0.0005878210067749023,-0.03367966279733287,0.000876009464263916,0.0501916451158387,0.001303166151046753,0.0746659204592869,0.003026723861694336,0.17341850302662376,0.0
9,0.045,0,1,9.0,0.002206518081948161,0.016021590679883957,0.0,0.0,0.0,0.0,0.1569025218486786,-0.8725055456161499,0.34981271624565125,1.569974422454834,0.7858855724334717,-0.13869185745716095,0.7870686054229736,0.0244707390666008,-0.02985999919474125,0.03023611754179001,-0.03283798322081566,0.03644368425011635,0.05793438106775284,0.1329907774925232,-0.0003482287283986807,-0.007536059711128473,0.0006427529733628035,0.000138950053951703,1.030919884215109e-05,0.0006998808239586651,-0.19959713518619537,-0.4386608898639679,1.3654415607452393,-0.001453652512282133,0.008832402527332306,-0.4453897476196289,-0.17534154653549194,-0.45888134837150574,1.0727652311325073,-0.0004601188993547112,0.00011249829549342394,0.0,-0.02425558865070343,0.020220458507537842,0.29267632961273193,0.3402332663536072,-0.46721017360687256,0.2952820360660553,-0.26454514265060425,0.1587233543395996,0.03220736235380173,0.4988463819026947,0.0018723458051681519,-0.00201570987701416,0.001366257667541504,-0.0011121034622192383,0.0013405084609985352,0.0017677098512649536,0.004536747932434082,0.0,0.1569025218486786,8.98985229688847,-0.8725055456161499,-49.990885365564516,0.34981271624565125,20.042792260883264,1.569974422454834,89.95290835015093,0.7858855724334717,45.02792648066068,-0.13869185745716095,-7.946458085125336,0.7870686054229736,45.095709277983886,0.0244707390666008,1.4020700700821294,-0.02985999919474125,-1.7108519301227103,0.03023611754179001,1.732401924006041,-0.03283798322081566,-1.8814778462741508,0.03644368425011635,2.0880692974390573,0.05793438106775284,3.3193955238848574,0.1329907774925232,7.619810264485,-0.0003482287283986807,-0.007536059711128473,0.0006427529733628035,0.03682703152298927,0.000138950053951703,1.030919884215109e-05,0.0006998808239586651,0.04010021686553955,-0.19959713518619537,-0.001453652512282133,-0.17534154653549194,-0.0004601188993547112,-0.02425558865070343,-0.4386608898639679,0.008832402527332306,-0.45888134837150574,0.00011249829549342394,0.020220458507537842,1.3654415607452393,-0.4453897476196289,1.0727652311325073,0.0,0.29267632961273193,0.3402332663536072,-0.46721017360687256,0.2952820360660553,-0.26454514265060425,0.1587233543395996,0.03220736235380173,0.4988463819026947,0.0018723458051681519,0.10727751242515902,-0.00201570987701416,-0.1154916686757456,0.001366257667541504,0.07828079807751614,-0.0011121034622192383,-0.06371883476704895,0.0013405084609985352,0.07680547721679339,0.0017677098512649536,0.10128231388118034,0.004536747932434082,0.25993650924317524,0.0
10,0.05,0,1,10.0,0.0023406140971928835,0.01836220547556877,0.0,0.0,0.0,0.0,0.1570863127708435,-0.8727371096611023,0.3500339388847351,1.5697282552719116,0.7861331701278687,-0.13832247257232666,0.7880410552024841,0.03564763069152832,-0.045686040073633194,0.04253106936812401,-0.04825977236032486,0.04729708284139633,0.07011828571557999,0.18457484245300293,-0.0003470989759080112,-0.007536005228757858,0.0006483864272013307,0.0001487188128521666,1.251271714863833e-05,0.0009222295484505594,-0.19962087273597717,-0.4384857416152954,1.354101538658142,-0.0015607477398589253,0.008874613791704178,-0.6399631500244141,-0.17531508207321167,-0.45875176787376404,1.0725561380386353,-0.0005718013271689415,0.0001492644805693999,0.0,-0.024305790662765503,0.020266026258468628,0.28154540061950684,0.2887449264526367,-0.5397058129310608,0.29380741715431213,-0.1891469806432724,-0.00020134076476097107,-0.005143649876117706,0.42595240473747253,0.002560719847679138,-0.002889394760131836,0.002036839723587036,-0.001789689064025879,0.0017476081848144531,0.002161562442779541,0.0062980055809021,0.0,0.1570863127708435,9.000382741041337,-0.8727371096611023,-50.00415300802727,0.3500339388847351,20.055467384435516,1.5697282552719116,89.93880400951485,0.7861331701278687,45.0421127835668,-0.13832247257232666,-7.925293890208406,0.7880410552024841,45.15142654613827,0.03564763069152832,2.042458788265593,-0.045686040073633194,-2.617617278884731,0.04253106936812401,2.436850772971643,-0.04825977236032486,-2.7650812765087176,0.04729708284139633,2.7099232300926333,0.07011828571557999,4.017481838195181,0.18457484245300293,10.575359476849163,-0.0003470989759080112,-0.007536005228757858,0.0006483864272013307,0.03714980557560921,0.0001487188128521666,1.251271714863833e-05,0.0009222295484505594,0.05283985659480095,-0.19962087273597717,-0.0015607477398589253,-0.17531508207321167,-0.0005718013271689415,-0.024305790662765503,-0.4384857416152954,0.008874613791704178,-0.45875176787376404,0.0001492644805693999,0.020266026258468628,1.354101538658142,-0.6399631500244141,1.0725561380386353,0.0,0.28154540061950684,0.2887449264526367,-0.5397058129310608,0.29380741715431213,-0.1891469806432724,-0.00020134076476097107,-0.005143649876117706,0.42595240473747253,0.002560719847679138,0.14671843978739765,-0.002889394760131836,-0.16555012510276906,0.002036839723587036,0.11670231970613036,-0.001789689064025879,-0.10254163000940143,0.0017476081848144531,0.10013057323238693,0.002161562442779541,0.1238484051252562,0.0062980055809021,0.36084913913552863,0.0
