epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.83,0.71941,1.0262,4.73735,0.9131,0,0.9615,0.86,0.94792,0.79167,0.9615,0.86,0.94792,0.7658,0.68191,0.72501,2.13832,0.94914,0,0.000653333,0.000653333,0.000653333
2,19.3748,0.76278,0.9018,1.85129,0.96314,0,0.97353,0.98,0.99147,0.79336,0.97353,0.98,0.99147,0.78513,0.69912,0.77542,1.13877,0.94924,0,0.00129386,0.00129386,0.00129386
3,27.0925,0.90946,1.06388,2.13783,0.99954,0,0.00047,0.14,0.00016,3e-05,0.0006,0.18,0.00024,3e-05,2.88204,17.8448,inf,6.47507,0,0.00190799,0.00190799,0.00190799
4,34.6372,0.89246,1.06725,1.19002,1.03906,0,0.99693,0.98,0.99461,0.81031,0.99693,0.98,0.99461,0.70781,0.68676,1.23341,0.74902,0.9589,0,0.0018812,0.0018812,0.0018812
5,41.9712,0.7646,0.88391,0.89771,1.00795,0,0.99748,1,0.995,0.83702,0.99748,1,0.995,0.79135,0.64398,0.76976,0.82168,0.94247,0,0.0018416,0.0018416,0.0018416
6,49.3121,0.83579,0.83377,0.72147,1.02906,0,1,0.99811,0.995,0.82794,1,0.99811,0.995,0.7583,0.73123,0.90136,0.6135,0.95752,0,0.001802,0.001802,0.001802
7,56.7026,0.82313,0.79285,0.76694,1.01762,0,0.98128,1,0.995,0.83327,0.98128,1,0.995,0.82192,0.67323,0.63898,0.54957,1.0074,0,0.0017624,0.0017624,0.0017624
8,64.0049,0.72041,0.7426,0.73769,0.99436,0,0.99814,1,0.995,0.82413,0.99814,1,0.995,0.81732,0.66014,0.63546,0.57485,0.97278,0,0.0017228,0.0017228,0.0017228
9,71.3293,0.73018,0.67445,0.56742,0.95015,0,0.99729,1,0.995,0.82725,0.99729,1,0.995,0.79442,0.62626,0.60395,0.46308,0.90761,0,0.0016832,0.0016832,0.0016832
10,78.6153,0.693,0.64853,0.53617,0.93934,0,0.99906,1,0.995,0.83867,0.99906,1,0.995,0.83568,0.57701,0.64891,0.43289,0.90834,0,0.0016436,0.0016436,0.0016436
11,86.0763,0.67584,0.73198,0.52131,0.94677,0,0.99822,1,0.995,0.82517,0.99822,1,0.995,0.81583,0.67215,0.64419,0.42699,0.95835,0,0.001604,0.001604,0.001604
12,93.502,0.64947,0.71683,0.48737,0.93133,0,0.99862,1,0.995,0.86167,0.99862,1,0.995,0.80797,0.57129,0.6281,0.41444,0.91089,0,0.0015644,0.0015644,0.0015644
13,100.825,0.62233,0.62283,0.45753,0.92825,0,0.99655,1,0.995,0.86256,0.99655,1,0.995,0.82315,0.54614,0.58965,0.43551,0.90122,0,0.0015248,0.0015248,0.0015248
14,108.131,0.61107,0.62569,0.43831,0.91467,0,0.99755,1,0.995,0.84736,0.99755,1,0.995,0.80027,0.55466,0.56524,0.38309,0.89427,0,0.0014852,0.0014852,0.0014852
15,115.43,0.60125,0.65798,0.4207,0.88603,0,0.99739,1,0.995,0.88098,0.99739,1,0.995,0.83837,0.52465,0.52939,0.36888,0.89633,0,0.0014456,0.0014456,0.0014456
16,122.75,0.60345,0.63761,0.42795,0.92641,0,0.99823,1,0.995,0.85395,0.99823,1,0.995,0.81256,0.61593,0.59203,0.4255,0.93235,0,0.001406,0.001406,0.001406
17,130.029,0.61667,0.62251,0.42382,0.91262,0,0.99634,1,0.995,0.88557,0.99634,1,0.995,0.80877,0.54886,0.57496,0.38066,0.89383,0,0.0013664,0.0013664,0.0013664
